x1,y
2.7069,1.5597
1.788,-4.9735
0.208,3.2549
1.6754,-3.0931
0.5474,4.8067
0.1583,3.1344
1.0726,3.8655
2.8223,9.0739
1.804,-5.0468
0.0457,2.5442
0.3977,4.1823
2.1274,-8.7312
2.7777,5.8967
0.5057,4.6611
0.4737,4.5091
2.1777,-9.0576
0.6777,4.9768
2.2651,-9.0414
1.4863,-0.4066
0.4,4.2034
2.636,-1.8915
1.6023,-2.0358
2.7583,4.568
0.1714,3.2532
0.612,4.8778
0.1194,2.8265
1.3166,1.6625
0.6794,4.8739
0.7611,4.9144
1.832,-5.5917
2.0651,-8.2997
2.676,0.1154
1.5554,-1.3545
0.4429,4.3868
2.4217,-7.7897
1.5514,-1.2498
0.652,4.9174
2.5046,-6.1524
2.848,11.1908
2.0183,-7.8415
1.9411,-6.9665
0.7634,5.0054
0.4166,4.2717
0.1109,2.9336
2.7743,5.6572
0.5366,4.6907
2.5543,-4.7149
1.0857,3.8685
1.3663,1.1011
1.9829,-7.4335
0.9651,4.398
1.7789,-4.7223
1.5257,-1.0193
1.1269,3.5158
0.0183,2.4174
0.2909,3.6839
0.4126,4.29
1.0543,3.9801
2.4566,-7.2042
1.5571,-1.5091
2.1983,-9.149
1.8669,-5.9427
0.9971,4.41
1.6783,-3.1785
0.468,4.3861
0.8051,4.9778
1.5417,-1.2243
2.4183,-7.9503
0.8034,4.8385
2.56,-4.5896
0.8486,4.8113
1.604,-2.086
0.6909,4.888
2.6131,-2.8064
1.5263,-1.0013
2.2703,-9.0756
1.0309,4.189
0.7583,4.8833
1.4954,-0.4888
0.5554,4.7497
0.6891,5.0043
1.9451,-7.001
0.764,4.9065
0.9217,4.5702
2.648,-1.3715
1.584,-1.8571
2.676,0.0841
1.5463,-1.1639
0.3423,3.8913
1.0331,4.0302
1.0474,4.0982
1.3309,1.5687
1.3143,1.6927
1.8349,-5.5668
1.7663,-4.5666
2.7931,6.9944
2.4771,-6.722
1.5549,-1.3954
1.7177,-3.7753
2.2857,-9.1544
2.6949,1.0394
2.6651,-0.4734
2.1697,-8.945
1.8223,-5.3937
1.264,2.3409
0.168,3.1079
2.3411,-8.7246
2.5086,-6.1535
2.2777,-9.1451
2.2629,-9.0614
1.7143,-3.814
2.4383,-7.5763
2.036,-8.125
1.1886,2.9649
2.5326,-5.5352
1.9091,-6.6861
2.3394,-8.8595
2.8149,8.479
1.0423,4.1167
1.6811,-3.2918
1.1114,3.6709
0.7,5.0212
1.7743,-4.6694
2.832,9.9132
0.3383,3.9096
0.3269,3.9079
0.5749,4.8324
2.5126,-5.9223
2.7589,4.7497
2.0874,-8.5647
2.0977,-8.6487
2.736,3.3604
0.1634,3.1078
0.1611,3.0623
0.336,3.9812
0.7737,4.9525
1.872,-6.0744
0.144,2.9839
2.1874,-9.0898
1.1589,3.2666
0.5291,4.6434
1.1411,3.3785
2.628,-2.1453
0.7251,5.0337
0.9394,4.5606
2.3229,-8.7937
0.0617,2.5652
0.9674,4.493
0.5086,4.5734
2.5177,-5.8961
0.4257,4.233
2.0097,-7.8998
1.2903,1.9614
1.4143,0.5435
1.4651,-0.1515
1.0354,4.1039
2.2137,-9.2347
2.3634,-8.6624
0.0549,2.547
0.9011,4.6253
0.06,2.5095
2.5109,-6.0626
2.5463,-5.0825
0.3514,4.0817
2.0457,-8.2014
1.6743,-3.108
1.0143,4.2504
0.1291,2.8727
1.4411,0.1728
1.3994,0.6631
1.108,3.686
2.124,-8.8577
1.9429,-7.058
2.7686,5.2899
1.5103,-0.8019
1.5531,-1.4101
2.2183,-9.2437
0.0983,2.8819
2.1446,-8.8944
0.7497,4.9666
0.6337,4.9443
1.9623,-7.298
1.136,3.3725
1.7023,-3.6148
0.1606,3.1821
2.3909,-8.2885
0.5183,4.6679
0.2023,3.2625
2.0274,-8.018
2.2486,-9.2354
0.6937,4.914
1.5949,-2.0164
2.4143,-7.9752
0.7914,5.0105
0.7823,4.9855
0.9994,4.2521
0.7486,5.0464
0.26,3.6067
2.0137,-7.7993
2.2737,-9.0481
