x1,y
1.1943,3.0093
2.1394,-8.7884
0.1537,3.0412
0.6657,4.9825
2.8371,10.1874
2.7063,1.6224
2.6566,-0.9787
1.404,0.7681
1.1166,3.6276
0.9,4.6058
0.9617,4.4197
1.6411,-2.7513
1.3577,1.2211
2.5326,-5.5198
2.76,4.7487
2.2097,-9.1156
1.2331,2.5729
2.424,-7.8542
1.2897,2.0025
0.1006,2.8239
2.7411,3.6232
1.068,3.8473
0.6177,4.8996
0.5789,4.7118
0.7954,4.9952
2.1989,-9.0209
0.3926,4.2554
1.6194,-2.2644
2.7074,1.7116
2.6691,-0.3547
0.0549,2.6551
2.0931,-8.5639
1.4137,0.4501
0.3703,4.1408
2.5171,-5.9165
2.2766,-9.1702
2.46,-7.1002
0.188,3.1734
0.1589,3.1421
2.3937,-8.2419
1.8754,-6.1148
0.8469,4.7433
0.2949,3.6991
2.0514,-8.1632
0.6503,4.847
2.6526,-1.014
1.5257,-0.8762
0.5726,4.684
1.5417,-1.1958
1.8371,-5.5425
