x,y
5.7512,0.4141
1.3338,0.2181
2.7088,-0.082
4.5163,0.6153
5.3,0.6264
1.4475,0.179
1.5888,0.1333
1.4288,0.1891
3.755,0.2781
1.045,0.284
4.2525,0.5189
6.2063,0.0723
0.9075,0.3016
2.3537,-0.0745
1.3737,0.2031
2.8263,-0.0726
0.2438,0.1653
0.6725,0.3018
4.8612,0.6774
0.7725,0.3072
6.24,0.0421
4.4237,0.5839
5.5225,0.5401
1.3837,0.1996
1.7525,0.0752
0.9125,0.302
4.535,0.6236
3.6525,0.2261
5.4625,0.5694
5.2913,0.6292
0.0137,0.017
5.72,0.4333
3.1775,0.0218
5.2238,0.6447
3.645,0.2217
2.0887,-0.0252
2.935,-0.049
1.255,0.2404
6.1575,0.1151
1.5287,0.1518
1.4488,0.1812
5.38,0.6002
4.11,0.457
3.1837,0.0218
5.6325,0.4855
4.0725,0.4366
0.5213,0.2725
5.8875,0.3223
2.9475,-0.0482
4.5113,0.6151
4.3125,0.5439
0.6862,0.2993
5.5775,0.5154
1.5087,0.1597
3.595,0.1977
2.7975,-0.0724
5.935,0.2888
2.6525,-0.0861
0.2725,0.1809
4.2962,0.5369
5.9975,0.2423
5.3837,0.5978
5.9738,0.2577
3.7313,0.2656
1.7175,0.0882
1.0425,0.2884
5.5712,0.5179
0.21,0.1438
3.7587,0.2829
5.865,0.3359
0.7675,0.3086
1.9288,0.0189
0.8213,0.3053
0.1713,0.1257
2.52,-0.0881
5.4125,0.5864
3.0313,-0.0277
0.7725,0.3042
3.5325,0.1666
1.6988,0.0934
2.9175,-0.053
4.07,0.4358
5.8362,0.3577
3.2313,0.0402
3.9625,0.3861
6.1163,0.1488
3.4375,0.1224
3.9588,0.3832
4.2375,0.5138
5.8675,0.3382
1.3088,0.2243
3.8788,0.3424
3.8525,0.3269
4.1512,0.4755
1.94,0.0171
4.29,0.5373
5,0.6774
4.58,0.632
3.23,0.0376
4.9988,0.6793
4.5687,0.6313
3.9188,0.3652
1.4525,0.1777
3.4762,0.1405
4.3325,0.5535
3.1613,0.0149
5.5538,0.5269
2.2188,-0.0554
1.225,0.2487
1.7962,0.0604
0.27,0.1794
5.5575,0.5216
1.4388,0.1843
0.2975,0.1922
1.8325,0.0512
5.9363,0.2864
2.1,-0.0308
4.5437,0.6213
6.24,0.0421
3.3712,0.0952
3.025,-0.0262
0.9575,0.3001
5.125,0.664
1.88,0.0339
4.8075,0.673
2.3475,-0.077
0.4313,0.2437
1.6037,0.1254
5.7225,0.431
1.9375,0.016
5.4288,0.5814
5.3925,0.5959
3.7225,0.2635
4.3713,0.5675
0.81,0.3076
2.3338,-0.0752
3.505,0.158
2.405,-0.0817
2.0988,-0.0268
3.2375,0.0439
3.6512,0.2249
5.5538,0.523
0.91,0.3037
3.0812,-0.0108
1.3625,0.2062
1.9512,0.0108
5.015,0.6766
1.6425,0.1152
2.2513,-0.0589
3.4,0.1103
2.2538,-0.0588
1.1037,0.2749
3.9775,0.3906
4.885,0.6786
4.51,0.6143
5.5938,0.5035
3.705,0.2556
2.2825,-0.0647
3.0275,-0.0246
3.9425,0.3741
4.3888,0.5716
5.78,0.3943
3.79,0.2962
4.3863,0.5724
1.1413,0.2678
5.2375,0.6411
5.4963,0.5537
2.4725,-0.0869
3.9213,0.3642
0.02,0.0244
1.3513,0.2094
0.9225,0.3002
2.8087,-0.0708
5.7625,0.4063
4.6863,0.6556
0.1937,0.1347
0.8525,0.3069
0.6012,0.2892
4.6613,0.6524
3.5025,0.1539
1.995,-0.0019
4.6087,0.6426
2.045,-0.0148
5.0338,0.6748
4.085,0.4424
4.9225,0.681
0.0712,0.0574
5.1262,0.6665
3.2,0.0262
1.585,0.132
0.3713,0.2247
2.39,-0.0788
3.07,-0.0133
5.3337,0.6148
3.9938,0.4025
0.29,0.1864
4.5588,0.6277
6.0975,0.1618
4.9862,0.6765
3.18,0.0218
