x,y
5.7512,0.4141
1.3338,0.2181
2.7088,-0.082
4.5163,0.6153
5.3,0.6264
1.4475,0.179
1.5888,0.1333
1.4288,0.1891
3.755,0.2781
1.045,0.284
4.2525,0.5189
6.2063,0.0723
0.9075,0.3016
2.3537,-0.0745
1.3737,0.2031
2.8263,-0.0726
0.2438,0.1653
0.6725,0.3018
4.8612,0.6774
0.7725,0.3072
6.24,0.0421
4.4237,0.5839
5.5225,0.5401
1.3837,0.1996
1.7525,0.0752
0.9125,0.302
4.535,0.6236
3.6525,0.2261
5.4625,0.5694
5.2913,0.6292
0.0137,0.017
5.72,0.4333
3.1775,0.0218
5.2238,0.6447
3.645,0.2217
2.0887,-0.0252
2.935,-0.049
1.255,0.2404
6.1575,0.1151
1.5287,0.1518
1.4488,0.1812
5.38,0.6002
4.11,0.457
3.1837,0.0218
5.6325,0.4855
4.0725,0.4366
0.5213,0.2725
5.8875,0.3223
2.9475,-0.0482
4.5113,0.6151
