x1,x2,x3,x4,y
0.26,1.633,1.086,0.753,1.334
3.083,4.236,0.766,4.864,80.3196
4.387,2.276,2.474,1.769,40.7085
3.063,2.534,0.759,2.507,26.6914
0.913,2.348,1.189,0.275,4.8501
3.572,3.2,4.609,1.397,74.1448
3.647,3.83,2.856,3.478,78.677
4.161,0.313,2.281,4.069,57.2029
0.255,1.322,4.214,0.428,3.9939
2.748,2.379,0.1,2.226,19.8037
3.714,3.467,0.849,3.955,65.8071
2.603,1.195,4.744,0.064,39.227
0.112,0.534,3.077,4.675,3.0013
2.477,2.442,0.966,1.67,16.0916
2.413,0.635,4.063,1.895,31.7132
4.398,2.502,4.88,3.51,114.5994
4.903,2.61,2.323,1.511,45.9439
0.121,3.334,1.398,1.763,2.1972
0.98,3.116,3.143,2.921,17.9226
0.702,4.569,0.917,2.018,11.9901
0.361,2.862,0.476,2.169,3.9861
3.148,4.544,3.332,3.367,83.8333
1.237,3.816,0.374,1.008,13.0288
0.266,2.688,0.719,0.72,2.2178
0.93,4.7,4.316,2.929,28.6087
3.619,4.719,0.44,0.803,52.8273
0.768,2.604,3.587,1.494,11.2459
1.564,2.411,1.761,4.284,27.0358
4.818,3.359,4.682,0.061,99.2694
3.713,1.469,3.118,1.492,33.7933
3.225,3.77,3.132,4.348,85.1356
1.379,2.207,2.834,2.67,17.9544
1.957,4.097,4.657,1.708,50.1145
4.714,3.494,0.025,3.327,68.9328
2.113,0.888,0.874,2.619,12.374
2.923,3.698,3.677,1.439,53.4708
1.328,2.294,2.255,2.262,13.7331
3.127,3.365,2.966,3.775,66.8088
2.667,2.137,1.472,2.239,20.7292
2.752,0.967,4.935,3.76,67.2573
0.411,4.125,0.969,1.008,5.5
3.861,0.599,3.163,0.935,28.5247
2.676,0.359,2.404,0.598,12.1652
2.054,1.66,2.134,2.455,18.0391
0.73,2.724,2.775,3.111,11.7381
1.626,0.857,3.222,3.039,21.3264
4.369,3.437,0.482,2.566,51.9209
4.089,3.884,3.581,1.701,78.3405
4.733,1.012,4.465,2.222,76.7527
2.99,3.404,0.33,4.128,53.5156
0.721,1.745,3.848,3.889,15.4979
0.834,4.117,3.374,4.243,24.1125
0.484,3.615,4.421,0.255,10.2405
2.751,0.16,2.48,4.891,51.5709
0.785,0.76,4.666,3.113,15.9753
3.131,2.629,1.925,1.225,25.0511
1.915,1.537,3.171,1.139,17.4669
4.556,0.976,0.788,3.897,48.666
4.913,3.093,4.019,4.479,138.2502
4.878,4.138,2.689,3.012,101.155
3.604,4.518,2.361,1.588,64.1502
1.933,0.99,2.174,0.713,8.7987
1.975,0.523,1.724,0.454,5.9239
3.072,2.69,0.01,0.592,16.0732
0.336,2.24,2.976,3.171,5.979
2.157,2.151,2.968,3.628,36.1932
1.928,2.801,0.059,3.805,27.6516
1.733,1.003,4.251,3.438,33.7003
2.906,1.81,4.95,1.263,53.1398
1.636,2.305,0.244,0.981,7.8485
3.363,1.288,1.642,0.416,11.5145
4.03,0.743,1.641,0.921,12.5241
2.921,0.191,1.488,2.635,18.2661
2.71,1.423,3.908,1.321,33.1026
1.867,1.721,2.933,0.245,14.7153
3.13,1.487,2.507,0.647,19.0446
0.57,1.495,2.746,4.758,12.0616
3.07,0.846,3.861,3.881,58.852
1.319,1.644,1.102,0.101,4.4813
3.587,2.339,2.807,3.323,55.0978
0.603,0.325,4.702,1.106,9.7469
0.19,2.651,2.763,2.114,2.9964
1.491,4.319,3.246,3.174,36.6142
1.307,1.449,0.144,0.008,2.7907
3.01,3.57,0.338,3.005,41.8056
4.46,2.496,1.213,4.248,71.8708
1.541,2.147,3.192,1.468,16.9947
1.386,4.904,1.676,3.86,35.922
1.108,4.34,1.489,4.829,30.6297
0.936,0.563,3.373,1.131,8.6003
0.27,3.901,2.36,3.578,6.3164
4.383,2.739,2.604,4.744,99.5796
1.064,2.953,0.978,0.587,7.8704
0.881,1.445,2.354,2.814,9.3164
0.261,1.329,2.439,1.477,2.3134
2.794,1.045,0.144,1.301,6.6653
3.04,1.154,0.881,1.195,8.7217
0.516,0.092,0.892,1.634,2.2095
4.234,1.9,3.834,1.229,53.2216
0.81,0.41,4.173,1.347,10.5212
0.489,1.976,4.04,2.99,9.3392
0.654,2.181,4.118,0.766,9.8472
3.257,0.767,0.15,3.805,31.5584
1.627,2.176,1.953,2.702,17.2001
0.293,3.928,2.187,4.272,7.721
2.149,3.508,2.481,3.486,41.3331
2.646,1.224,0.169,3.429,22.8647
2.873,0.251,0.624,2.816,16.6935
2.772,4.429,0.278,2.924,49.0657
3.306,4.276,4.092,4.622,114.0474
2.679,4.211,0.069,2.112,37.8516
1.937,2.454,2.367,1.795,19.1192
1.759,3.649,2.909,4.412,44.8925
1.704,0.372,2.068,1.937,9.9275
2.484,3.669,4.87,0.311,57.6181
4.258,1.63,3.428,4.697,96.0548
1.254,1.188,4.907,0.703,20.9758
4.088,0.002,3.652,1.417,40.1455
1.69,0.779,4.336,4.875,45.2356
3.861,3.025,4.411,0.189,68.7525
1.367,4.275,4.475,1.909,35.7528
4.247,0.298,4.162,1.711,54.5945
0.737,1.395,4.818,1.703,13.5771
1.689,0.643,0.523,3.944,17.789
2.564,2.381,3.485,3.689,50.3445
0.065,4.742,0.067,4.197,2.3278
1.913,2.212,4.776,1.788,37.0445
3.535,1.585,1.679,1.38,17.8019
3.416,4.448,0.784,4.724,89.8126
2.156,3.531,1.735,1.412,24.2016
4.511,2.463,2.959,0.56,43.8763
0.613,3.587,3.654,0.587,10.7976
3.369,1.134,0.622,4.796,52.2089
2.756,0.23,2.656,2.833,26.9405
3.697,4.195,4.484,1.717,92.7442
2.066,2.257,2.693,2.582,25.2301
3.236,0.762,4.563,0.275,43.9665
4.801,4.335,3.168,3.239,116.0841
3.95,0.43,1.296,2.947,27.5008
4.961,0.735,2.26,2.215,34.7944
2.432,3.876,1.487,0.061,26.8607
2.349,0.592,3.016,0.143,15.2725
4.194,1.733,4.733,2.225,79.07
3.57,0.768,1.835,4.365,51.6651
3.149,2.599,1.538,1.28,22.3951
4.785,2.194,3.252,3.02,73.3991
2.967,3.017,4.204,4.6,87.3531
