x1,x2,x3,y
2.77,0.651,3.408,62.486
2.665,0.446,2.04,5.9846
2.428,0.451,3.303,7.9984
0.884,1.129,4.745,9.4589
2.474,0.596,2.236,12.5566
3.791,0.027,2.328,0.2578
3.99,0.182,1.834,2.1003
0.099,3.443,2.105,0.8722
1.957,0.994,2.15,152.8064
0.544,2.075,2.78,7.2139
3.599,0.132,2.845,1.7802
4.596,0.413,0.89,33.1787
0.601,1.766,4.351,9.8449
1.485,0.86,3.581,12.6594
1.434,0.582,0.17,0.2521
0.606,0.291,2.13,0.4179
1.843,0.407,1.818,2.1881
4.115,0.159,1.479,1.4444
4.955,0.269,1.599,6.3948
4.075,0.262,2.369,5.4322
3.823,0.434,1.703,16.5897
0.48,0.671,2.023,0.7824
2.052,0.888,2.977,61.0191
2.363,0.816,2.511,134.8918
0.901,0.186,2.04,0.3817
2.6,0.549,3.201,15.9681
0.454,0.614,4.797,1.5617
4.195,0.371,4.799,33.6793
2.928,0.261,4.852,6.0069
0.287,0.589,4.466,0.834
2.326,0.412,4.412,8.1247
4.289,0.368,2.301,17.2344
2.986,0.096,2.179,0.7345
1.384,1.116,4.109,27.8751
3.832,0.234,2.204,3.5904
1.841,0.473,0.4,0.6223
0.674,1.819,2.245,7.1199
4.163,0.195,2.118,2.9008
0.794,1.711,0.534,2.2671
2.928,0.02,0.1,0.0136
0.093,0.837,2.186,0.1847
3.532,0.317,2.885,7.3461
4.03,0.364,2.219,12.2206
0.996,1.394,3.28,14.9019
3.107,0.347,2.981,6.9797
4.229,0.023,0.678,0.0777
0.063,2.287,2.022,0.3216
1.87,0.611,0.672,1.7972
4.697,0.079,2.237,1.0286
4.183,0.276,0.165,0.4564
