x1,x2,x3,x4,y
26.34,16.06,13.46,22.83,274
1.36,23.66,2.2,24.21,2121
16.91,22.84,34.91,32.04,583
47.01,34.3,13.47,25.23,-1641
3.39,26.94,45.24,14.32,-610
6.55,16.49,6.8,29.34,393
4.9,42.4,49.02,25.61,-34073
4.37,32.34,30.26,44.29,-3104
8.31,2.89,16.18,46.74,-3
24.82,32.82,32.6,25.66,-1287
11.17,1.05,1.14,41.68,6
8.67,38.66,13.54,6.54,-1712
14.24,4.28,38.83,23.22,28
17.47,43.78,46.27,38.61,-7655
40.55,1.35,33.12,22.07,-3
3.36,20.92,40.76,32.35,1905
5.42,19.75,31.13,45.21,-1600
18.73,46.43,49.64,47.84,12407
19.16,42.13,18.37,17.65,-2198
6.55,41.96,25.65,25.51,-1533
38.38,19.16,15.88,31.56,384
5.86,48.37,24.83,21.96,2958
32.14,29.48,26.07,5.74,-7147
40.09,15.01,41.04,21.21,-380
12.42,2.76,0.86,41.12,15
8.29,47.91,7.02,42.26,3511
34.45,2.12,7.7,20.07,7
22.54,27.42,34.57,49.28,1519
17.24,36.36,38.95,45.05,-1263
8.23,21.63,43.8,8.21,1199
8.63,42.55,11.69,20.62,2376
9.29,1.05,27.29,11.59,6
38.28,24.77,29.81,7.28,745
47.61,43.23,11.79,30.44,-1859
6.52,7.18,43.95,43.27,-45
26.2,19.63,47.55,35.56,-428
12.66,38.44,37.51,44.46,-1698
18.62,20.81,24.46,28.94,2457
23.96,21.91,4.82,31.41,-3081
5.19,16.18,14.81,27.91,-239
41.25,20.67,10.71,48.71,-425
27.78,1.41,27.02,17.08,10
20.32,1.52,45.42,14.59,7
42.98,25.87,0.91,15.33,2620
24.78,15.07,4.67,19.51,381
35.8,4.84,37.16,14.46,37
6.97,14,48.86,11.35,-165
16.4,22.36,8.61,21.36,-468
4.53,15.82,16.73,13.12,380
38.13,10.73,2.54,43.84,140
