x1,x2,x3,x4,x5,y
1.45,29.79,36.68,29.1,3.93,0.029
48.14,20.55,16.96,37.6,31.14,0.2382
1.14,7.13,23.79,46.2,44.8,0.9282
17.84,33.61,20.59,25.99,16.16,0.1216
18.05,15.77,41,20.02,42.03,0.246
38.84,22.52,29.38,13.98,40.69,0.1683
48.67,31.73,48.71,16.82,10.26,0.0042
32.88,3.75,26.73,36.69,33.76,0.7232
25.76,28.95,29.99,31.1,30.56,0.2981
41.49,42.12,34.99,9.45,2.16,0.0022
13.38,32.65,47.95,25.84,17.22,0.0542
29.09,19.37,23.73,47.07,17.42,0.6649
13.54,30.58,42.53,19.32,17.4,0.045
2.69,35.9,34.19,14.4,9.35,0.0301
35.13,45.97,35.99,16.04,31.52,0.0515
5.32,30.98,45.84,37.12,10.53,0.0387
38.57,38.71,29.45,42.07,5.54,0.0438
2.64,18.96,23.24,14.16,8.93,0.0763
31.8,13.59,34.62,7.37,8.14,0.0423
44.81,1.77,43.95,35.54,28.11,0.1213
6.04,27.06,48.16,30.26,18.77,0.0516
48.16,30.26,20.93,22.3,16.97,0.0511
11.94,46.28,37.87,21.7,14.72,0.0235
3.6,49.55,45.01,17.09,43.72,0.0447
39.57,27.11,22.92,39.59,8.05,0.0863
31.44,26.11,35.86,17.09,1.01,-0.0158
27.93,39.7,42.62,35.63,45.71,0.1707
14.53,16.71,2.18,3.09,41.8,0.088
42.25,33.25,20.69,30,48.49,0.2724
4.32,1.76,24.36,31.01,27.88,0.4408
19.9,43.72,44.73,11.47,27.2,0.0109
6.86,18.43,35.51,15.04,35.8,0.1521
48.25,11.07,42.65,23.12,26.9,0.0995
18.23,41.04,39,43.45,27.02,0.1722
0.12,34.73,0.92,6.3,12.27,0.0028
41.53,18.9,13.34,31.35,1.88,0.0216
15.19,8.85,31.34,37.98,20.09,0.5236
29.79,44.28,17.77,26.49,19.52,0.1009
28.18,41.18,6.17,9.19,17.05,0.0081
12.05,35.72,24.2,47.22,28.16,0.3186
6.98,22.02,43.39,4.71,13.63,0.0015
21.95,34.2,13.86,43.86,12.76,0.1995
26.65,22.12,36.8,6.53,47.39,0.0929
10.98,22.45,39.47,37.59,29.74,0.2477
17.38,10.9,37.91,6.48,11.41,0.0178
40.85,40.03,16.09,2.96,10.62,-0.0053
37.45,49.01,9.16,25.46,16.15,0.0342
12.08,29.23,16.59,23.28,29.22,0.2927
34.17,21.49,30.51,49.53,35.65,0.5959
48.25,9.69,9.9,10.03,39.39,0.1159
