x1,x2,x3,y
26.55,43.53,9.91,7.2505
22.91,36.62,22.62,6.3044
9.71,12.67,45.36,2.8416
17.36,32.23,10.65,4.5434
5.29,14.29,10.45,1.2216
37.79,25.04,37.09,13.0111
1.54,24.99,15.5,0.1548
4.71,23.47,22.77,0.8755
9.75,2.34,3.66,3.8801
15,33.2,3.12,3.7277
12.22,24.57,49.57,3.139
10.1,48.55,34.7,1.8621
25.85,8.47,48.8,9.9774
9.97,21.84,42.37,2.4799
31.32,5.36,47.78,12.8683
12.53,11.01,7.08,4.0615
17.91,25.26,14.4,5.1053
8.85,5.27,44.29,3.1329
43.96,39.08,49.28,14.2004
13.88,28.89,23.04,3.493
12.96,9.05,37.57,4.4084
12.86,23.2,25.56,3.402
15.21,47.14,41.49,3.3476
23.31,6.6,47.61,9.1526
35.17,1.76,33.39,15.2287
22.69,12.72,39.4,8.0896
24.42,22.46,19.5,7.8105
41.65,6.79,37.1,17.1487
40.21,2.79,4.3,17.2855
22.89,30.04,35.01,6.6978
49.66,1.36,45.47,21.7773
45.72,22.27,48.41,16.6772
49.6,40.88,49.49,16.3359
16.18,22.49,16.9,4.6499
2.01,35.47,7.92,0.1868
22.77,47.82,48.49,5.7556
35.11,45.99,24.22,10.2536
7.9,0.31,4.26,3.463
10.03,13.56,31.22,2.8957
4.82,2.11,23.64,1.7759
3.15,21.18,49.25,0.5036
40.34,8.56,40.36,16.2685
4.05,33.45,34.87,0.6113
3.03,49.57,38.96,0.3231
29.09,14.47,20.19,10.5518
27.13,49,1.95,7.1955
0.59,23.84,42.91,0.0507
42.09,22.25,47.65,15.1149
41.69,40.74,16.87,13.1526
37.63,1.93,8.55,16.3156
36.75,16.23,43.32,13.6186
44.59,41.69,0.43,14.2318
7.45,3.58,12.74,2.7103
31.25,48.11,31.92,8.7324
4.52,16.79,47.35,0.9049
15.4,40.82,4.91,3.591
15,17.19,34.21,4.5393
41.9,40.62,5.37,13.285
35.23,28.2,48.93,11.685
26.03,35.83,34.96,7.5019
9.43,28.22,20.05,2.0768
12.31,26.71,33.16,3.0819
33.89,21.57,34.02,11.7802
49.04,48.01,40.08,15.4979
26.75,37.67,30.77,7.6684
28.43,19.7,49.88,9.7278
13.54,8.27,39.99,4.7599
42.36,25.69,4.79,14.8486
28.17,22.79,7.96,9.3153
3.78,20.85,29.8,0.6479
29.68,11.85,15.03,11.1476
33.71,16.04,7.97,12.3384
34.54,8.88,33.72,13.6768
13.87,41.26,46.29,3.1009
14.6,39.87,27.46,3.3583
4.95,37,32.28,0.7655
10.69,41.25,39.97,2.1547
30.52,23.67,31.14,10.1661
11.79,5.83,25.17,4.2648
26.49,49.13,23.53,6.9758
49.85,7.02,17.88,20.7558
6.29,14.42,33.98,1.5201
10.27,0.99,44.95,4.3676
41.62,27.51,49.99,14.3478
7.96,7.07,27.22,2.5937
8.82,35.28,31.63,1.7625
29.01,16.27,21.89,10.3265
0.91,33.57,11.87,0.0857
38.09,27.85,5.73,12.842
5.2,5.35,37.49,1.602
1.29,14.12,48.74,0.1758
46.57,37.02,0.61,15.4335
24.81,13.28,28.52,8.9061
46.36,12.88,10.88,18.221
9.06,0.41,35.28,3.9472
46.86,37.66,8.28,15.492
18.56,36.63,17.41,4.7919
1.46,37.22,16.49,0.126
17.33,46.3,17.73,3.9982
30.42,37.34,36.98,9.0456
