x1,x2,x3,x4,x5,y
0.09,15.78,16.06,38.13,21.96,15.2137
22.91,45.08,46.38,35.83,13.38,1.3792
19.35,25.4,6.72,47.66,30.4,1.3356
44.72,25.52,23.34,46.5,19.47,1.1093
8.82,41.31,15.38,29.65,12.43,1.9956
27.35,3.23,46.88,49.68,15.42,1.5012
13.14,32.88,10.52,28.57,6.98,1.7926
39.03,25.3,10.73,36.24,9.52,1.1601
2.95,49.11,30.38,48.64,9.65,5.1371
48.93,11.23,28.21,29.52,25.19,0.3976
36.3,39.12,31.08,39.49,34.06,0.5465
47.4,42.06,47.76,43.92,4.78,1.2749
13.05,47.48,35.49,48.08,1.52,2.6706
6.74,29.51,12.04,3.95,2.47,0.6699
47.75,21.25,22.45,44.91,40.43,0.4526
32.87,22.68,30.27,18.23,8.66,0.762
46.84,22.41,24.81,41.07,13.88,1.0572
30.48,6.11,17.2,42.25,2.89,1.5944
48.52,2.6,20.25,43.63,42.9,0.0458
49.13,41.91,5.88,31.4,25.71,0.4713
46.35,37.42,1.79,46.4,35.04,0.7001
8.36,11.37,35.13,27.34,16.22,1.5986
44.17,3.32,29.99,29.51,27.79,0.1799
21.27,39.8,22.35,40.97,8.44,1.7687
38.44,13.11,27.52,41.57,17.6,1.1254
12.45,19.14,15.48,35.29,5.99,2.1585
6.35,4.86,10.83,49.16,2.7,3.7992
24.15,10.41,1.32,2.82,2.45,0.195
45.24,30.63,3.84,47.83,2.69,1.3926
48.71,2.31,36.2,27.67,21.58,0.3928
43.55,28.57,30.72,31.04,15.65,0.8203
33.12,25.22,39.69,37.77,0.34,1.5227
44.98,5.18,1.95,45.59,29.85,0.8365
42.73,47.79,27.18,46.48,27.43,0.9442
41.4,41.19,49.66,12.51,7.52,0.4801
45.04,44.59,30.07,6.64,0.69,0.5238
35.84,31.27,6.14,33.98,26.88,0.6494
5.16,47.97,14.2,42.79,17.1,3.145
41.65,15.25,48.43,45.65,29.12,0.8677
5.25,33.87,33.66,16,6.8,1.8625
5.38,33.64,34.34,47.3,33.84,2.2488
9.66,34.23,30.63,19.35,4.43,1.7451
14.95,48.23,36,48.36,23.99,1.8149
8.12,21.02,11.09,49.58,46.57,0.8486
23.52,38.47,37.52,37.27,36.22,0.2859
35.56,49.59,11.43,41.68,24.99,0.9488
19.99,37.43,44.29,38.13,23.28,1.2075
17.56,41.67,5.9,40.05,12.28,1.7784
45.29,17.46,1,36.38,35.83,0.1558
46.94,32,23.62,41.92,39.41,0.3066
19.33,45.6,17.03,47.05,35.9,1.0939
26.72,46.43,7.24,48.88,38.78,0.8695
20.09,27.2,2.99,23.82,2.79,1.4569
6.56,20.92,21.66,45.39,3.69,3.5821
6.65,20.69,27.94,43.63,3.26,3.4685
17.36,37.08,4.17,20.76,16.45,0.7246
39.67,22.14,8.57,34.93,18.2,0.9383
48.92,49.93,9.61,46.73,15.69,1.1165
8.63,19.21,34.12,45.4,30.2,1.8555
41.13,41.06,47.11,38.29,6.06,1.2716
20.03,23.91,46.14,47.35,45.71,0.393
42.1,41.93,42.79,29.1,1.71,1.1304
4.79,22.2,2.02,21.87,21.49,0.4079
10.4,33.63,21.79,36.96,18.74,1.8508
26.27,17.03,13.89,34.04,30.25,0.5263
14.08,11.03,10.21,30.13,22.8,1.0183
7.91,40.17,30.11,34.65,2.5,2.8396
4.79,13.3,7.32,42.86,1.75,4.1315
49.88,33.62,0.46,27.91,6.38,0.9091
0.65,28.7,49.39,14.31,5.26,4.5447
10.69,42.34,7.32,39.88,24.88,1.6551
48.99,3.36,43.51,19.57,7.48,0.6709
3.6,10.49,47.86,25.93,18.22,1.6262
26.42,20.53,47.56,45.59,16.3,1.4965
49.48,21.04,35.02,27.74,26.27,0.2514
36.58,47.23,24.58,31.42,25.84,0.5622
48.76,42.55,36.65,23.94,10.87,0.712
28.31,16.36,5.31,48.82,48.7,0.1014
7.62,44.99,48.85,43.58,8.29,3.0501
37.32,23.66,24.39,14.13,9.69,0.497
33.02,36.52,27.37,30.67,17.37,0.8872
3.11,42.63,14.86,34.12,8.45,4.0715
33.1,27.95,15.11,25.98,19.77,0.6223
39.84,25.68,1.77,12.57,10.73,0.2839
28.78,44.57,22.3,46.51,16.84,1.4258
